Date;Electricité (réel);Gaz (réel);Electricité (estimé);Gaz (estimé)
"2011-01-01";408331,987;;;
"2012-01-01";519759,004;;;
"2013-01-01";524664,999;;;
"2014-01-01";594017,004;;;
"2015-01-01";481193,018;;;
"2016-01-01";440596,983;;;
"2017-01-01";557657,979;;;
"2018-01-01";419596,996;31508;;
"2019-01-01";467359,999;322087,005;;
"2020-01-01";481062,992;659906,989;;
"2021-01-01";701354,308;741888,979;;
"2022-01-01";483109,998;1198,933;;
"2023-01-01";429011,994;0;;
"2024-01-01";471824,004;1329627;;
"2025-01-01";156188,332;589;318182,099;1329627
"2026-01-01";;;155555,622;589
